auction_name,auction_role,auction_country,player_id,matched_registry_name,tier
Mahedi Hasan,ALL-ROUNDER,Bangladesh,9dad0f2e,Mahedi Hasan,1-exact
Maheesh Theekshana,BOWLER,Sri Lanka,f24c6701,M Theekshana,1b-abbrev-exact
Mahesh Pithiya,ALL-ROUNDER,India,1c29d51f,MV Pithiya,2-fuzzy
Mahipal Lomror,ALL-ROUNDER,India,da934ee8,MK Lomror,2-fuzzy
Manan Vohra,BATTER,India,c03e2850,M Vohra,1b-abbrev-exact
Manav Suthar,BOWLER,India,025c4400,MJ Suthar,2-fuzzy
Manish Pandey,BATTER,India,93b4fc78,MK Pandey,2-fuzzy
Manoj Bhandage,ALL-ROUNDER,India,e96801ea,MS Bhandage,2-fuzzy
Marco Jansen,ALL-ROUNDER,South Africa,81c36ee9,M Jansen,1b-abbrev-exact
Marcus Stoinis,ALL-ROUNDER,Australia,d9273ee7,MP Stoinis,2-fuzzy
Mark Chapman,BATTER,New Zealand,7fa12533,MS Chapman,2-fuzzy
Matheesha Pathirana,BOWLER,Sri Lanka,64839cb3,M Pathirana,1b-abbrev-exact
Matt Henry,BOWLER,New Zealand,e84ac20c,MJ Henry,2-fuzzy
Matthew Breetzke,BATTER,South Africa,35f173a0,MP Breetzke,2-fuzzy
Matthew Forde,ALL-ROUNDER,West Indies,83d17bbc,MW Forde,2-fuzzy
Matthew Potts,BOWLER,England,894b2d25,MJ Potts,2-fuzzy
Matthew Short,ALL-ROUNDER,Australia,a90e53ec,MW Short,A-auto
Mayank Agarawal,BATTER,India,00ea847a,MA Agarwal,B-manual
Mayank Dagar,ALL-ROUNDER,India,a457cfb5,Mayank Dagar,1-exact
Mayank Markande,BOWLER,India,a9fd84fb,M Markande,1b-abbrev-exact
Mayank Rawat,ALL-ROUNDER,India,2b801189,Mayank Rawat,1-exact
Mayank Yadav,BOWLER,India,b1ad996b,MP Yadav,A-auto
Mehidy Hasan Miraz,ALL-ROUNDER,Bangladesh,c58b0108,Mehedi Hasan Miraz,2-fuzzy
Michael Bracewell,ALL-ROUNDER,New Zealand,e38bce7a,MG Bracewell,2-fuzzy
Michael Neser,ALL-ROUNDER,Australia,0164b064,MG Neser,2-fuzzy
Michael Pepper,WICKETKEEPER,England,270e4c23,MS Pepper,2-fuzzy
Mikyle Louis,BATTER,West Indies,1d8c298b,M Louis,1b-abbrev-exact
Mitchell Marsh,ALL-ROUNDER,Australia,3d8feaf8,MR Marsh,A-auto
Mitchell Santner,ALL-ROUNDER,New Zealand,e4a0deae,MJ Santner,2-fuzzy
Mitchell Starc,BOWLER,Australia,3fb19989,MA Starc,2-fuzzy
Moeen Ali,ALL-ROUNDER,England,bb351c23,MM Ali,2-fuzzy
Mohammad Nabi,ALL-ROUNDER,Afghanistan,62af8546,Mohammad Nabi,1-exact
Mohammad Shami,BOWLER,India,8cf9814c,Mohammed Shami,2-fuzzy
Mohammad Siraj,BOWLER,India,2f49c897,Mohammed Siraj,2-fuzzy
Mohammed Azharuddeen,WICKETKEEPER,India,4ae89f36,Mohammed Azharuddeen,1-exact
Mohit Avasthi,BOWLER,India,7e83cef2,Mohit Avasthi,1-exact
Mohit Rathee,BOWLER,India,9a5f2863,Mohit Rathee,1-exact
Mohsin Khan,BOWLER,India,c33d8116,Mohsin Khan,A-auto
Mujeeb Ur Rahman,BOWLER,Afghanistan,7d92277a,Mujeeb Ur Rahman,1-exact
Mujtaba Yousuf,BOWLER,India,f5c9b42c,Mujtaba Yousuf,1-exact
Mukesh Choudhary,BOWLER,India,765a4731,Mukesh Choudhary,1-exact
Mukesh Kumar,BOWLER,India,2cffab74,Mukesh Kumar,1-exact
Mukhtar Hussain,ALL-ROUNDER,India,97114e80,Mukhtar Hussain,1-exact
Murugan Ashwin,BOWLER,India,e2db2409,M Ashwin,1b-abbrev-exact
Musheer Khan,ALL-ROUNDER,India,d621b427,Musheer Khan,1-exact
Mustafizur Rahman,BOWLER,Bangladesh,0a8fce53,Mustafizur Rahman,1-exact
Nahid Rana,BOWLER,Bangladesh,5318ee68,Nahid Rana,1-exact
Najibullah Zadran,BATTER,Afghanistan,1212cbec,Najibullah Zadran,1-exact
Naman Dhir,ALL-ROUNDER,India,fffa744b,Naman Dhir,1-exact
Nandre Burger,BOWLER,South Africa,465aa633,N Burger,1b-abbrev-exact
Narayan Jagadeesan,WICKETKEEPER,India,bd54eef5,N Jagadeesan,1b-abbrev-exact
Nathan Ellis,BOWLER,Australia,9eb1455b,NT Ellis,2-fuzzy
Nathan Smith,ALL-ROUNDER,New Zealand,3147131e,Nathan Smith,1-exact
Navdeep Saini,BOWLER,India,21d4e29b,Navdeep Saini,1-exact
Naveen Ul Haq,BOWLER,Afghanistan,c0c411cb,Naveen-ul-Haq,1-exact
Nehal Wadhera,BATTER,India,d1a60072,N Wadhera,1b-abbrev-exact
Nicholas Pooran,WICKETKEEPER,West Indies,3241e3fd,N Pooran,1b-abbrev-exact
Ninad Rathva,ALL-ROUNDER,India,8f607eea,NA Rathva,2-fuzzy
Nishant Sindhu,ALL-ROUNDER,India,3cea23da,N Sindhu,1b-abbrev-exact
Nishunk Birla,ALL-ROUNDER,India,376025f1,Nishunk Birla,1-exact
Nitish Kumar Reddy,ALL-ROUNDER,India,aad0c365,Nithish Kumar Reddy,2-fuzzy
Nitish Rana,ALL-ROUNDER,India,fb2d1dda,N Rana,1b-abbrev-exact
Noor Ahmad,BOWLER,Afghanistan,efc04be7,Noor Ahmad,1-exact
Nqabayomzi Peter,BOWLER,South Africa,212aeedd,N Peter,1b-abbrev-exact
Nuwan Thushara,BOWLER,Sri Lanka,ee1b6c27,N Thushara,1b-abbrev-exact
Obed McCoy,BOWLER,West Indies,529eb9e0,OC McCoy,2-fuzzy
Odean Smith,ALL-ROUNDER,West Indies,23cca426,OF Smith,2-fuzzy
Oliver Davies,BATTER,Australia,0ea54eca,O Davies,1b-abbrev-exact
Ollie Pope,WICKETKEEPER,England,e94bc520,OJ Pope,A-auto
Olly Stone,BOWLER,England,3f659464,OP Stone,2-fuzzy
Ottneil Baartman,BOWLER,South Africa,6b9eb501,OEG Baartman,2-fuzzy
Pankaj Jaswal,BOWLER,India,3bc10d5b,Pankaj Jaswal,1-exact
Pat Cummins,BOWLER,Australia,ded9240e,PJ Cummins,2-fuzzy
Pathum Nissanka,BATTER,Sri Lanka,8ee36b18,P Nissanka,1b-abbrev-exact
Patrick Kruger,ALL-ROUNDER,South Africa,39181592,PE Kruger,2-fuzzy
Phil Salt,WICKETKEEPER,England,3d284ca3,PD Salt,2-fuzzy
Piyush Chawla,BOWLER,India,98ae73b1,PP Chawla,2-fuzzy
Prabhsimran Singh,WICKETKEEPER,India,c5680204,PM Singh,A-auto
Praful Hinge,BOWLER,India,ece7b6b3,PP Hinge,2-fuzzy
Prashant Sai Painkra,BOWLER,India,6cdc3215,PS Painkra,1b-abbrev-exact
Prashant Solanki,BOWLER,India,c695b423,PH Solanki,2-fuzzy
Prasidh Krishna,BOWLER,India,85e0cf10,M Prasidh Krishna,2-fuzzy
Pratham Singh,ALL-ROUNDER,India,f9f21866,Pratham Singh,1-exact
Pravin Dubey,ALL-ROUNDER,India,ed5a5510,P Dubey,1b-abbrev-exact
