auction_name,auction_role,auction_country,player_id,matched_registry_name,tier,confidence,note
Washington Sundar,ALL-ROUNDER,India,f19ccfad,Washington Sundar,1-exact,,
Shardul Thakur,ALL-ROUNDER,India,1abb78f8,SN Thakur,B-manual,,"manual: country-conflict caught S Thakur(Romania); real Shardul Narendra Thakur is SN Thakur, India"
K.S Bharat,WICKETKEEPER,India,44a89551,KS Bharat,1-exact,,
Alex Carey,WICKETKEEPER,Australia,69d03465,AT Carey,2-fuzzy,93.3,
Donovan Ferreira,WICKETKEEPER,South Africa,f0af99a7,D Ferreira,1b-abbrev-exact,,
Shai Hope,WICKETKEEPER,West Indies,1fc6ef83,SD Hope,2-fuzzy,92.3,
Josh Inglis,WICKETKEEPER,Australia,989889ff,JP Inglis,2-fuzzy,94.1,
Ryan Rickelton,WICKETKEEPER,South Africa,e66732f8,RD Rickelton,2-fuzzy,95.7,
Deepak Chahar,BOWLER,India,23eeb873,DL Chahar,A-auto,,"manual: DL+surname, first-initial"
Gerald Coetzee,BOWLER,South Africa,3204c99f,G Coetzee,1b-abbrev-exact,,
Akash Deep,BOWLER,India,0a67aec0,Akash Deep,1-exact,,
Tushar Deshpande,BOWLER,India,46a9bea1,TU Deshpande,2-fuzzy,95.7,
Lockie Ferguson,BOWLER,New Zealand,2f9d0389,LH Ferguson,2-fuzzy,95.2,
Bhuvneshwar Kumar,BOWLER,India,2e81a32d,B Kumar,B-manual,,manual: confirmed distinct from Hemanth Kumar collision
Mukesh Kumar,BOWLER,India,2cffab74,Mukesh Kumar,1-exact,,
Allah Ghazanfar,BOWLER,Afghanistan,9ca68676,AM Ghazanfar,2-fuzzy,95.7,
Akeal Hosein,BOWLER,West Indies,4d7f517e,AJ Hosein,2-fuzzy,94.1,
Keshav Maharaj,BOWLER,South Africa,0b60eb09,KA Maharaj,2-fuzzy,94.7,
Mujeeb Ur Rahman,BOWLER,Afghanistan,7d92277a,Mujeeb Ur Rahman,1-exact,,
Adil Rashid,BOWLER,England,249d60c9,AU Rashid,2-fuzzy,94.1,
Vijayakanth Viyaskanth,BOWLER,Sri Lanka,03a83c50,V Viyaskanth,1b-abbrev-exact,,
Ricky Bhui,BATTER,India,b63e358a,RK Bhui,A-auto,,"manual: RK+surname, first-initial"
Swastik Chhikara,BATTER,India,,,3-nomatch,,best fuzzy candidate only 70.0: MSR Charan
Aarya Desai,BATTER,India,8053c798,Aarya Desai,1-exact,,
Shubham Dubey,BATTER,India,6b2ff18f,SB Dubey,B-manual,,"manual: SB Dubey confirmed, disambiguated from SR Dubey/S Dube tie"
Madhav Kaushik,BATTER,India,49110249,Madhav Kaushik,1-exact,,
Pukhraj Mann,BATTER,India,4a9a8c3d,Pukhraj Mann,1-exact,,
Shaik Rasheed,BATTER,India,cbf58a86,SK Rasheed,2-fuzzy,94.7,
Himmat Singh,BATTER,India,ebcfef83,Himmat Singh,1-exact,,
Mayank Dagar,ALL-ROUNDER,India,a457cfb5,Mayank Dagar,1-exact,,
