player_id,player_name,country,primary_role
119007ef,Ibrarul Haq,Saudi Arabia,Bowler
119678fd,KV Sharma,India,All-rounder
11a22126,A Turay,Sierra Leone,Batter
11b37b2a,JL Tutty,Cook Islands,Bowler
11b785d6,J Thomas,St Helena,Batter
11bdd382,Chamath Wickramasingha,,Bowler
11c35bf1,O Sam Arthur,Costa Rica,Bowler
11cebda3,Shafiq Jan,Oman,Bowler
11df3dc8,MJ Lumb,England,Batter
11e8e25f,V Chopra,,Batter
11ec0b58,JC Wainman,,Bowler
11f56b14,HV Mandhyan,Hungary,Batter
1200550f,MJ Prior,England,Batter
1212cbec,Najibullah Zadran,,Batter
12197705,Khaled Khan,Germany,Batter
12314277,Arshad Khan,,Bowler
1236044e,LR Naylor,Scotland,Batter
123ab754,Syed Faizan Tahir,Saudi Arabia,Batter
123e663a,S Dhaniram,Canada,Batter
1252f71a,MRJ Watt,Scotland,All-rounder
125853c3,T Kahamker,Israel,Batter
125bba96,J Perman,Spain,Bowler
125d4980,J Salazar,Peru,Batter
125fa4de,JF Carter,,Batter
12678cc7,T Cross,Estonia,Batter
126c3f6f,Ashish Rana,Estonia,Batter
126e8cb3,Avneesh Sudha,,Batter
126f1e28,R Nath,Turkey,Batter
1274d7ab,Nazmul Hossain Shanto,Bangladesh,Batter
127bc5ca,NGRP Jayasuriya,,Bowler
1283e17b,Imal Zuwak,Sweden,Batter
128d1861,Song Tacho,,Batter
1294ee6d,Muhammad Arfan,United Arab Emirates,Bowler
12963b14,ARG Thomas,,Batter
12a15f20,N Premaratne,,Bowler
12ac8ca5,RI Thakur,,Batter
12b610c2,TM Head,Australia,Batter
12b7fa12,Kamran Mahmood,Denmark,Batter
12bba2d4,U Dorji,Bhutan,Batter
12bffe91,LL Tsotsobe,South Africa,Bowler
12c3ba4d,P Khadka,Nepal,All-rounder
12c9c558,Wang Qi,China,Batter
12cdca65,M Pranith,,Batter
12d57ebd,Abhisekh Tiwari,,Batter
12d8efc8,TL Greatwood,,Bowler
12eddf28,RJ Harris,Australia,Bowler
12f53be7,Abdul Rahman,Singapore,Batter
12f75dbd,AP Sharma,,Bowler
12fb67f5,CMKK Wijerathne,,Batter
130d9e0d,Tayyeb Javed,Timor-Leste,Batter
1335107b,S Bharratt,Suriname,Batter
1339f52a,M Fontaine,Hungary,Batter
133bbd61,Brijesh Sharma,,Bowler
134bead2,Varun Choudhary,,Bowler
13501ff4,Mohamed Khan,Sierra Leone,Bowler
13598ebc,A Krishna,Singapore,Bowler
136848e6,J Dunn,Vanuatu,Batter
137b58de,GS Sandhu (2),,Bowler
137e7065,C Valente,,Bowler
138e30ab,Yair Nagavkar,Israel,Bowler
13903f13,Tahmeed Rahman,,Bowler
1399b39c,Anmolpreet Singh,,Batter
13a1dc01,P Stroud,St Helena,Bowler
13abdc50,Dhrushant Soni,,Bowler
13bc54a8,U Aryaman Sunil,Singapore,Bowler
13bee186,SC Cook,,Batter
13bf1d91,Sulaiman Ali,Bulgaria,Batter
