player_id,player_name,country,primary_role
0baa5518,Abhishesh Gautam,,Bowler
0bab1be2,M Fru,Cameroon,Batter
0bacade8,Rahmanullah Gurbaz,,Wicketkeeper
0bb51ea6,Mayank Sidhana,,Batter
0bb68705,VC Ahir,Panama,Batter
0bd536fb,P Raho,Papua New Guinea,Bowler
0bde8443,OFM Sykes,,Batter
0bec3a6c,BAC Howell,,All-rounder
0bf15e52,Harmeet Singh (2),United States of America,All-rounder
0bf5f887,S Eno,Papua New Guinea,Batter
0bfcc974,SJ Walters,,Batter
0c0eb448,Akhil Rajput,,Batter
0c0ef3fb,Baltej Singh,,Bowler
0c13675e,Subham Nayak,,Batter
0c160e0d,Afif Khattak,Switzerland,Bowler
0c1da0c4,V Balakrishnan,Botswana,Batter
0c24fb7b,S Yeshi,Bhutan,Bowler
0c2730df,A Kumble,,Bowler
0c432afb,P Parameswaran,,Bowler
0c5bb005,AD Thomason,,Batter
0c5c3a87,DLR Smith,,Batter
0c5f662b,DJ Hawke,Isle of Man,Bowler
0c79cd0e,G Malkan,,Batter
0c7f11be,DL Lloyd,,Batter
0c8836b6,AJ Crosthwaite,,Batter
0c8e89cc,OA Olympio,Nigeria,Batter
0c94f480,UBT Chand,,Batter
0c95e20e,F Clarke,Isle of Man,Batter
0c9652b0,HR Shokeen,,Bowler
0ca1ea55,HMHE Parsons,South Korea,Batter
0caf8005,D Pathmanathan,,Bowler
0cb292b1,Abhinav Raman,Singapore,Bowler
0cb8626f,Sudip Chatterjee,,Batter
0cea2730,J Pakeman,Belize,Batter
0cf7e80f,Wang Zihao,China,Batter
0cfb42b5,Abdul Majid Abbasi,Bahrain,Bowler
0d0f0385,F Akankwasa,Uganda,Bowler
0d15a8c9,Zahid Ali,United Arab Emirates,Bowler
0d1e8d3a,J Kida,Fiji,Batter
0d232ffd,MA Khote,,Batter
0d24b1f7,UKPW Kumaranayaka,Kuwait,Bowler
0d37dea9,DE Budge,Scotland,Batter
0d38ab25,H Fennell,Argentina,Bowler
0d39a026,Asif Mehmood,,Bowler
0d4d3cb1,R Dhiman,Bulgaria,Bowler
0d51e658,CD Barnwell,West Indies,Batter
0d61d8f0,JD Libby,,Batter
0d64d81c,Rahul Khajan Singh,,Bowler
0d677597,W Barresi,Netherlands,Wicketkeeper
0d6ab15a,R de Silva,,Bowler
0d705d2d,Y Khatri,,Bowler
0d7e506a,V Marghashayam,Czech Republic,Bowler
0d8f5fc6,GK Beghin,,Batter
0d9992e3,P Littlejohns,Isle of Man,Batter
0d9d3baa,GF Gomes,Mozambique,Batter
0da52658,AR Gandhi,Kenya,Batter
0daf3ffc,P Bhart,Norway,Bowler
0dbe27b8,BD Glover,Netherlands,Bowler
0dc00542,Shahid Afridi,Pakistan,All-rounder
0dcd8fbd,Anthony Roe,Chile,Batter
0dde7f22,S McGiffin,,Batter
0df43caf,JP Phillips,,Batter
0e0afd8b,MO Jones,Bermuda,Bowler
0e0d43b4,SJ Mullaney,,All-rounder
0e0d4577,J Perera,,Batter
0e102c3b,BAA Zammitt,Gibraltar,Batter
0e1baf3d,Abraar Khan,Lesotho,Batter
0e34c23a,Adnan Idrees,Kuwait,Batter
0e3552e2,S Franklin,Switzerland,Bowler
0e3bfa00,D Kharel,,Batter
0e4843d2,Hamed Khan,Hong Kong,Batter
0e4a8941,R Punchihewa,,Bowler
0e4de7de,J Kunnanchirakkal,Malta,Batter
0e567e38,Supriyo Chakraborty,,Bowler
0e56c514,HJ Manenti,Italy,Batter
0e5ccbb4,Usman Mushtaq,United Arab Emirates,Batter
0e63259d,J Campbell,Zimbabwe,Batter
0e6c2f00,AF Ifill,Cayman Islands,Bowler
0e80e47d,U Shantu,Portugal,Bowler
0e84e0f6,NR Mittal,Singapore,Batter
0e93ef92,SJ French,Samoa,Batter
0e9af639,Talha Jubair,,Batter
0e9b0f64,Ali Majid,,Bowler
0ea1455a,HJ Nielsen,,Batter
0ea54eca,O Davies,,Batter
0ebaa16a,SS Sharma,,Batter
