player_id,player_name,primary_role,country,ipl_batting_score,intl_t20_batting_score,other_t20_batting_score,ipl_bowling_score,intl_t20_bowling_score,other_t20_bowling_score,batting_score,bowling_score,keeping_score,value_score,value_score_tier
0c24fb7b,S Yeshi,Bowler,Bhutan,,17.336429208708978,,,31.399485231214687,,17.336429208708978,31.399485231214687,,31.4,INTL_T20/ASSOCIATE_FRINGE
e5ecb1ef,V Ravindran,Batter,Hungary,,31.43581726040185,,,20.309527244413175,,31.43581726040185,20.309527244413175,,31.4,INTL_T20/ASSOCIATE_FRINGE
be869ccf,GHS Garton,All-rounder,England,,,32.00106628754221,,,29.925474254742547,32.00106628754221,29.925474254742547,,31.4,OTHER_T20/FRANCHISE
74bace71,Hiten Dalal,Batter,,,,31.39642857142857,,,,31.396428571428565,,,31.4,OTHER_T20/SMAT
5de198db,Abdullah Akbarjan,Bowler,Austria,,17.427897988257513,,,31.4268108745879,,17.427897988257513,31.4268108745879,,31.4,INTL_T20/ASSOCIATE_FRINGE
f7e9a562,Kamrul Islam Rabbi,Bowler,,,,33.923370319001386,,,31.27172958735733,33.923370319001386,31.27172958735733,,31.3,OTHER_T20/FRANCHISE
5332fc2f,Hamid Mahmood,Bowler,Sweden,,32.155428513744454,,,31.311009023542624,,32.155428513744454,31.311009023542624,,31.3,INTL_T20/ASSOCIATE_FRINGE
c96311d4,CR Ervine,Batter,Zimbabwe,,31.29153831079757,,,,,31.29153831079757,,,31.3,INTL_T20/FULL_MEMBER
49556abb,T Bharaj,Batter,Denmark,,31.28836792955712,,,,,31.28836792955712,,,31.3,INTL_T20/ASSOCIATE_FRINGE
cb4f31e2,Bandaru Ayyappa,Bowler,,,,,,,31.33057851239669,,31.330578512396695,,31.3,OTHER_T20/SMAT
ad1730bc,Ariful Haque,Batter,Bangladesh,,21.66111328963842,31.32775239543842,,,14.635057471264368,31.32775239543842,14.635057471264368,,31.3,OTHER_T20/FRANCHISE
1efd12d1,PR Brown,Bowler,England,,,19.04751397469844,,17.14291661840907,31.301533433886373,19.04751397469844,31.301533433886373,,31.3,OTHER_T20/FRANCHISE
670e6804,Junaid Khan,Bowler,Finland,,31.991452901629923,,,31.31150703697019,,31.991452901629923,31.31150703697019,,31.3,INTL_T20/ASSOCIATE_FRINGE
57c95c3c,LH Rodrigues,Bowler,Brazil,,29.61615512574067,,,31.295111459631865,,29.61615512574067,31.295111459631865,,31.3,INTL_T20/ASSOCIATE_FRINGE
e21bc7f3,RD Berrington,Batter,Scotland,,36.89583784396945,21.868555746583862,,25.743601337517692,,31.260607057449857,25.743601337517692,,31.3,INTL_T20/ASSOCIATE_FRINGE
5b2acc3f,Shahid Afridi,Batter,Germany,,31.344364905392688,,,28.40873291542493,,31.344364905392688,28.40873291542493,,31.3,INTL_T20/ASSOCIATE_FRINGE
6a71ba3a,M Levitt,Batter,Netherlands,,35.97408649718575,23.48157596371882,,20.408797656972567,,31.28939504713565,20.408797656972567,,31.3,INTL_T20/ASSOCIATE_FRINGE
60fbf53a,D Potgieter,All-rounder,,,,25.18126888217522,,,33.79745493107105,25.18126888217522,33.79745493107105,,31.2,OTHER_T20/FRANCHISE
63d6e16e,Saeed Ahmed,Batter,Sweden,,31.173656245524242,,,19.826033248941993,,31.173656245524242,19.826033248941993,,31.2,INTL_T20/ASSOCIATE_FRINGE
ebb74564,A Simelane,Bowler,South Africa,,,20.72746552211105,,31.231083844580777,22.391207884314266,20.72746552211105,31.231083844580777,,31.2,INTL_T20/FULL_MEMBER
977b841a,SSJ Brooks,Batter,West Indies,,31.301974300831446,30.899825248515928,,,,31.151168406213124,,,31.2,INTL_T20/FULL_MEMBER
710dd98c,MN van Wyk,Wicketkeeper,South Africa,,30.4216380182002,31.624844744604875,,,,31.624844744604875,,29.296582020786456,31.2,OTHER_T20/FRANCHISE
c6097d68,O Thomas,Bowler,West Indies,,,,,32.091148115688,29.71311475409836,,31.199385605091887,,31.2,INTL_T20/FULL_MEMBER
a510bdd3,EG Barnard,All-rounder,,,,40.37895704715618,,,9.907560975609753,40.37895704715618,9.907560975609753,,31.2,OTHER_T20/FRANCHISE
a3ce3d1d,SJ Erwee,Batter,,,,31.188805457308042,,,,31.188805457308042,,,31.2,OTHER_T20/FRANCHISE
3f9d95f9,LJ Myott,Bowler,Philippines,,23.81430037523284,,,31.247736504983767,,23.81430037523284,31.247736504983767,,31.2,INTL_T20/ASSOCIATE_FRINGE
c58b0108,Mehedi Hasan Miraz,All-rounder,Bangladesh,,38.35498922436341,24.65520108650461,,26.557237866138394,26.158614759224513,33.21756867266636,26.407754201045684,,31.2,INTL_T20/FULL_MEMBER
c1b74851,ED Silva,Batter,Kuwait,,31.213659561677535,,,24.353780700852944,,31.213659561677535,24.353780700852944,,31.2,INTL_T20/ASSOCIATE_FRINGE
805b89d7,RP Sharma,Batter,,,,31.21260530100678,,,,31.212605301006775,,,31.2,OTHER_T20/SMAT
5ea3a7c6,Esam Rahman,Batter,Japan,,31.244353700062,,,14.279772497838927,,31.244353700062,14.279772497838927,,31.2,INTL_T20/ASSOCIATE_FRINGE
2513b4fe,Kashif Siddique,Batter,Saudi Arabia,,31.18928235476491,,,,,31.18928235476491,,,31.2,INTL_T20/ASSOCIATE_FRINGE
e855546b,WEL Buttleman,Batter,,,,31.189820506515854,,,,31.18982050651585,,,31.2,OTHER_T20/FRANCHISE
