year,player_id,player_name,value_score,price_cr
2024,12b610c2,Travis Head,66.7,6.8
2024,c38d3503,Shivam Mavi,34.7,6.4
2024,3204c99f,Gerald Coetzee,59.1,5.0
2024,4c5d73db,Chris Woakes,50.9,4.2
2024,4ae1755b,Harry Brook,85.6,4.0
2024,1abb78f8,Shardul Thakur,41.9,4.0
2024,ba5e1069,Rachin Ravindra,52.0,1.8
2024,1e66c162,Jaydev Unadkat,37.6,1.6
2024,a97c8ec2,Wanindu Hasaranga,73.6,1.5
2025,919a3be2,Rishabh Pant,79.5,27.0
2025,85ec8e33,Shreyas Iyer,65.9,26.75
2025,235c2bb6,Heinrich Klaasen,76.4,23.0
2025,ba607b88,Virat Kohli,75.9,21.0
2025,3241e3fd,Nicholas Pooran,80.5,21.0
2025,462411b3,Jasprit Bumrah,85.1,18.0
2025,ded9240e,Pat Cummins,53.8,18.0
2025,45a43fe2,Ruturaj Gaikwad,81.0,18.0
2025,fe93fd9d,Ravindra Jadeja,60.2,18.0
2025,a4cc73aa,Sanju Samson,73.7,18.0
2025,6c19c6e5,Yashasvi Jaiswal,82.7,18.0
2025,57ee1fde,Yuzvendra Chahal,64.2,18.0
2025,dbe50b21,Hardik Pandya,65.5,16.35
2025,99b75528,Jos Buttler,80.2,15.75
2025,12b610c2,Travis Head,88.2,14.0
2025,04a418e8,Riyan Parag,49.2,14.0
2025,bcf325d2,Dhruv Jurel,67.5,14.0
2025,b17e2f24,KL Rahul,68.7,14.0
2025,64839cb3,Matheesha Pathirana,84.7,13.0
2025,a818c1be,Trent Boult,56.2,12.5
2025,03806cf8,Josh Hazlewood,67.4,12.5
2025,2f49c897,Mohammed Siraj,38.7,12.25
2025,a4e37e47,Shivam Dube,56.2,12.0
2025,5b7ab5a9,Varun Chakravarthy,82.5,12.0
2025,9d430b40,Sunil Narine,71.0,12.0
2025,3fb19989,Mitchell Starc,65.8,11.75
2025,3d284ca3,Phil Salt,81.4,11.5
2025,752f7486,Ishan Kishan,56.4,11.25
2025,c740ea83,Rajat Patidar,91.7,11.0
2025,48a1d7b7,Shimron Hetmyer,69.8,11.0
2025,800d2d97,Jitesh Sharma,52.5,11.0
2025,d9273ee7,Marcus Stoinis,68.5,11.0
2025,e62dd25d,Kagiso Rabada,57.2,10.75
2025,2e81a32d,Bhuvneshwar Kumar,52.5,10.75
2025,ce794613,T Natarajan,50.2,10.75
2025,85b3fab2,Tristan Stubbs,77.7,10.0
2025,efc04be7,Noor Ahmad,59.4,10.0
2025,8cf9814c,Mohammed Shami,47.9,10.0
2025,495d42a5,Ravichandran Ashwin,56.7,9.75
2025,85e0cf10,Prasidh Krishna,26.7,9.5
2025,23eeb873,Deepak Chahar,45.1,9.25
2025,9b6e1b3f,Jake Fraser-McGurk,36.4,9.0
2025,50c6bc2b,Liam Livingstone,71.1,8.75
2025,d5130a30,Sai Sudharsan,81.6,8.5
2025,b0482a1d,Tilak Varma,88.0,8.0
2025,2cffab74,Mukesh Kumar,49.5,8.0
2025,d67d5f00,David Miller,73.6,7.5
2025,81c36ee9,Marco Jansen,64.2,7.0
2025,acdc62f5,Anrich Nortje,57.0,6.5
2025,46a9bea1,Tushar Deshpande,42.7,6.5
2025,4ae1755b,Harry Brook,88.6,6.25
2025,df5a6881,Devon Conway,64.8,6.25
2025,5b8c830e,Krunal Pandya,56.8,5.75
2025,9caf69a1,Will Jacks,74.2,5.25
2025,a97c8ec2,Wanindu Hasaranga,74.4,5.25
2025,7210d461,Yash Dayal,29.3,5.0
2025,f24c6701,Maheesh Theekshana,53.6,4.4
2025,b681e71e,Glenn Maxwell,66.6,4.2
2025,4a8a2e3b,MS Dhoni,76.7,4.0
2025,39a2dfa8,Rahul Tewatia,58.0,4.0
2025,872b03f7,Ayush Badoni,59.5,4.0
2025,ba5e1069,Rachin Ravindra,63.0,4.0
2025,372455c4,Quinton de Kock,71.6,3.6
2025,77255a9e,Rahul Tripathi,59.8,3.4
2025,3d8feaf8,Mitchell Marsh,58.9,3.4
2025,f19ccfad,Washington Sundar,46.0,3.2
2025,2ed569a0,Rahul Chahar,58.4,3.2
2025,f1f99156,Tim David,82.7,3.0
2025,83c3e8e3,Spencer Johnson,59.9,2.8
2025,d014d5ac,Sherfane Rutherford,65.9,2.6
2025,989889ff,Josh Inglis,78.6,2.6
2025,3c55c703,Jacob Bethell,60.5,2.6
2025,e94915e6,Sam Curran,55.2,2.4
2025,14f96089,Adam Zampa,80.2,2.4
2025,8f6dd463,Azmatullah Omarzai,76.7,2.4
2025,3204c99f,Gerald Coetzee,40.0,2.4
2025,2f9d0389,Lockie Ferguson,56.7,2.0
2025,6a26221c,Aiden Markram,60.1,2.0
2025,2c25d4f5,Devdutt Padikkal,30.9,2.0
2025,0bacade8,Rahmanullah Gurbaz,65.9,2.0
2025,4a491652,Moeen Ali,12.5,2.0
2025,e4a0deae,Mitchell Santner,67.5,2.0
2025,e9c7f0d0,Fazalhaq Farooqi,67.8,2.0
2025,9eb1455b,Nathan Ellis,58.1,2.0
2026,19b9f399,Cameron Green,61.5,25.2
2026,64839cb3,Matheesha Pathirana,67.5,18.0
2026,119678fd,Kartik Sharma,56.5,14.2
